"";"satz";"inhalt";"satzlaenge"
"2595";666;"Der Untersuchungsrichter kümmerte sich aber nicht darum, sondern saß recht bequem auf seinem Sessel und griff, nachdem er dem Mann hinter ihm ein abschließendes Wort gesagt hatte, nach einem kleinen Anmerkungsbuch, dem einzigen Gegenstand auf seinem Tisch.";37
"2596";667;"Es war schulheftartig, alt, durch vieles Blättern ganz aus der Form gebracht.";12
"2597";668;"»Also«, sagte der Untersuchungsrichter, blätterte in dem Heft und wandte sich im Tone einer Feststellung an K., »Sie sind Zimmermaler?«";20
"2598";669;"»Nein«, sagte K., »sondern erster Prokurist einer großen Bank.«";9
"2599";670;"Dieser Antwort folgte bei der rechten Partei unten ein Gelächter, das so herzlich war, daß K. mitlachen mußte.";18
"2600";671;"Die Leute stützten sich mit den Händen auf ihre Knie und schüttelten sich wie unter schweren Hustenanfällen.";17
"2601";672;"Es lachten sogar einzelne auf der Galerie.";7
"2602";673;"Der ganz böse gewordene Untersuchungsrichter, der wahrscheinlich gegen die Leute unten machtlos war, suchte sich an der Galerie zu entschädigen, sprang auf, drohte der Galerie, und seine sonst wenig auffallenden Augenbrauen drängten sich buschig, schwarz und groß über seinen Augen.";40
"2603";674;"Die linke Saalhälfte war aber noch immer still, die Leute standen dort in Reihen, hatten ihre Gesichter dem Podium zugewendet und hörten den Worten, die oben gewechselt wurden, ebenso ruhig zu wie dem Lärm der anderen Partei, sie duldeten sogar, daß einzelne aus ihren Reihen mit der anderen Partei hie und da gemeinsam vorgingen.";54
"2604";675;"Die Leute der linken Partei, die übrigens weniger zahlreich waren, mochten im Grunde ebenso unbedeutend sein wie die der rechten Partei, aber die Ruhe ihres Verhaltens ließ sie bedeutungsvoller erscheinen.";30
"2605";676;"Als K. jetzt zu reden begann, war er überzeugt, in ihrem Sinne zu sprechen.";14
"2606";677;"»Ihre Frage, Herr Untersuchungsrichter, ob ich Zimmermaler bin – vielmehr, Sie haben gar nicht gefragt, sondern es mir auf den Kopf zugesagt -, ist bezeichnend für die ganze Art des Verfahrens, das gegen mich geführt wird.";34
"2607";678;"Sie können einwenden, daß es ja überhaupt kein Verfahren ist, Sie haben sehr recht, denn es ist ja nur ein Verfahren, wenn ich es als solches anerkenne.";27
"2608";679;"Aber ich erkenne es also für den Augenblick jetzt an, aus Mitleid gewissermaßen.";13
"2609";680;"Man kann sich nicht anders als mitleidig dazu stellen, wenn man es überhaupt beachten will.";15
"2610";681;"Ich sage nicht, daß es ein liederliches Verfahren ist, aber ich möchte Ihnen diese Bezeichnung zur Selbsterkenntnis angeboten haben.«";19
"2611";682;"K. unterbrach sich und sah in den Saal hinunter.";9
"2612";683;"Was er gesagt hatte, war scharf, schärfer, als er es beabsichtigt hatte, aber doch richtig.";15
"2613";684;"Es hätte Beifall hier oder dort verdient, es war jedoch alles still, man wartete offenbar gespannt auf das Folgende, es bereitete sich vielleicht in der Stille ein Ausbruch vor, der allem ein Ende machen würde.";35
"2614";685;"Störend war es, daß sich jetzt die Tür am Saalende öffnete, die junge Wäscherin, die ihre Arbeit wahrscheinlich beendet hatte, eintrat und trotz aller Vorsicht, die sie aufwendete, einige Blicke auf sich zog.";33
"2615";686;"Nur der Untersuchungsrichter machte K. unmittelbare Freude, denn er schien von den Worten sofort getroffen zu werden.";17
"2616";687;"Er hatte bisher stehend zugehört, denn er war von K.s Ansprache überrascht worden, während er sich für die Galerie aufgerichtet hatte.";21
"2617";688;"Jetzt, in der Pause, setzte er sich allmählich, als sollte es nicht bemerkt werden.";14
"2618";689;"Wahrscheinlich um seine Miene zu beruhigen, nahm er wieder das Heftchen vor.";12
"2619";690;"»Es hilft nichts«, fuhr K. fort, »auch Ihr Heftchen, Herr Untersuchungsrichter, bestätigt, was ich sage.«";15
"2620";691;"Zufrieden damit, nur seine ruhigen Worte in der fremden Versammlung zu hören, wagte es K. sogar, kurzerhand das Heft dem Untersuchungsrichter wegzunehmen und es mit den Fingerspitzen, als scheue er sich davor, an einem mittleren Blatte hochzuheben, so daß beiderseits die engbeschriebenen, fleckigen, gelbrandigen Blätter hinunterhingen.";46
"2621";692;"»Das sind die Akten des Untersuchungsrichters«, sagte er und ließ das Heft auf den Tisch hinunterfallen.";16
"2622";693;"»Lesen Sie darin ruhig weiter, Herr Untersuchungsrichter, vor diesem Schuldbuch fürchte ich mich wahrhaftig nicht, obwohl es mir unzugänglich ist, denn ich kann es nur mit zwei Fingern anfassen und würde es nicht in die Hand nehmen.«";37
"2623";694;"Es konnte nur ein Zeichen tiefer Demütigung sein oder es mußte zumindest so aufgefaßt werden, daß der Untersuchungsrichter nach dem Heftchen, wie es auf den Tisch gefallen war, griff, es ein wenig in Ordnung zu bringen suchte und es wieder vornahm, um darin zu lesen.";45
"2624";695;"Die Gesichter der Leute in der ersten Reihe waren so gespannt auf K. gerichtet, daß er ein Weilchen lang zu ihnen hinuntersah.";22
"2625";696;"Es waren durchwegs ältere Männer, einige waren weißbärtig.";8
"2626";697;"Waren vielleicht sie die Entscheidenden, die die ganze Versammlung beeinflussen konnten, welche auch durch die Demütigung des Untersuchungsrichters sich nicht aus der Regungslosigkeit bringen ließ, in welche sie seit K.s Rede versunken war?";33
"2627";698;"»Was mir geschehen ist«, fuhr K. fort, etwas leiser als früher, und suchte immer wieder die Gesichter der ersten Reihe ab, was seiner Rede einen etwas fahrigen Ausdruck gab, »was mir geschehen ist, ist ja nur ein einzelner Fall und als solcher nicht sehr wichtig, da ich es nicht sehr schwer nehme, aber es ist das Zeichen eines Verfahrens, wie es gegen viele geübt wird.";65
"2628";699;"Für diese stehe ich hier ein, nicht für mich.«";9
"2629";700;"Er hatte unwillkürlich seine Stimme erhoben.";6
"2630";701;"Irgendwo klatschte jemand mit erhobenen Händen und rief: »Bravo!";9
"2631";702;"Warum denn nicht?";3
"2632";703;"Bravo!";1
"2633";704;"Und wieder Bravo!«";3
"2634";705;"Die in der ersten Reihe griffen hier und da in ihre Bärte, keiner kehrte sich wegen des Ausrufs um.";19
"2635";706;"Auch K. maß ihm keine Bedeutung bei, war aber doch aufgemuntert; er hielt es jetzt gar nicht mehr für nötig, daß alle Beifall klatschten, es genügte, wenn die Allgemeinheit über die Sache nachzudenken begann und nur manchmal einer durch Überredung gewonnen wurde.";42
"2636";707;"»Ich will nicht Rednererfolg«, sagte K. aus dieser Überlegung heraus, »er dürfte mir auch nicht erreichbar sein.";17
"2637";708;"Der Herr Untersuchungsrichter spricht wahrscheinlich viel besser, es gehört ja zu seinem Beruf.";13
"2638";709;"Was ich will, ist nur die öffentliche Besprechung eines öffentlichen Mißstandes.";11
"2639";710;"Hören Sie: Ich bin vor etwa zehn Tagen verhaftet worden, über die Tatsache der Verhaftung selbst lache ich, aber das gehört jetzt nicht hierher.";24
"2640";711;"Ich wurde früh im Bett überfallen, vielleicht hatte man – es ist nach dem, was der Untersuchungsrichter sagte, nicht ausgeschlossen – den Befehl, irgendeinen Zimmermaler, der ebenso unschuldig ist wie ich, zu verhaften, aber man wählte mich.";35
"2641";712;"Das Nebenzimmer war von zwei groben Wächtern besetzt.";8
"2642";713;"Wenn ich ein gefährlicher Räuber wäre, hätte man nicht bessere Vorsorge treffen können.";13
"2643";714;"Diese Wächter waren überdies demoralisiertes Gesindel, sie schwätzten mir die Ohren voll, sie wollten sich bestechen lassen, sie wollten mir unter Vorspiegelungen Wäsche und Kleider herauslocken, sie wollten Geld, um mir angeblich ein Frühstück zu bringen, nachdem sie mein eigenes Frühstück vor meinen Augen schamlos aufgegessen hatten.";47
"2644";715;"Nicht genug daran.";3
"2645";716;"Ich wurde in ein drittes Zimmer vor den Aufseher geführt.";10
"2646";717;"Es war das Zimmer einer Dame, die ich sehr schätze, und ich mußte zusehen, wie dieses Zimmer meinetwegen, aber ohne meine Schuld, durch die Anwesenheit der Wächter und des Aufsehers gewissermaßen verunreinigt wurde.";33
"2647";718;"Es war nicht leicht, ruhig zu bleiben.";7
"2648";719;"Es gelang mir aber, und ich fragte den Aufseher vollständig ruhig – wenn er hier wäre, müßte er es bestätigen -, warum ich verhaftet sei.";23
"2649";720;"Was antwortete nun dieser Aufseher, den ich jetzt noch vor mir sehe, wie er auf dem Sessel der erwähnten Dame als eine Darstellung des stumpfsinnigsten Hochmuts sitzt?";27
"2650";721;"Meine Herren, er antwortete im Grunde nichts, vielleicht wußte er wirklich nichts, er hatte mich verhaftet und war damit zufrieden.";20
"2651";722;"Er hat sogar noch ein übriges getan und in das Zimmer jener Dame drei niedrige Angestellte meiner Bank gebracht, die sich damit beschäftigten, Photographien, Eigentum der Dame, zu betasten und in Unordnung zu bringen.";34
"2652";723;"Die Anwesenheit dieser Angestellten hatte natürlich noch einen andern Zweck, sie sollten, ebenso wie meine Vermieterin und ihr Dienstmädchen, die Nachricht von meiner Verhaftung verbreiten, mein öffentliches Ansehen schädigen und insbesondere in der Bank meine Stellung erschüttern.";37
"2653";724;"Nun ist nichts davon, auch nicht im geringsten, gelungen, selbst meine Vermieterin, eine ganz einfache Person – ich will ihren Namen hier in ehrendem Sinne nennen, sie heißt Frau Grubach -, selbst Frau Grubach war verständig genug, einzusehen, daß eine solche Verhaftung nicht mehr bedeutet, als einen Anschlag, den nicht genügend beaufsichtigte Jungen auf der Gasse ausführen.";55
"2654";725;"Ich wiederhole, mir hat das Ganze nur Unannehmlichkeiten und vorübergehenden Ärger bereitet, hätte es aber nicht auch schlimmere Folgen haben können?«";21
"2655";726;"Als K. sich hier unterbrach und nach dem stillen Untersuchungsrichter hinsah, glaubte er zu bemerken, daß dieser gerade mit einem Blick jemandem in der Menge ein Zeichen gab.";28
"2656";727;"K. lächelte und sagte: »Eben gibt hier neben mir der Herr Untersuchungsrichter jemandem von Ihnen ein geheimes Zeichen.";18
"2657";728;"Es sind also Leute unter Ihnen, die von hier oben dirigiert werden.";12
"2658";729;"Ich weiß nicht, ob das Zeichen jetzt Zischen oder Beifall bewirken sollte, und verzichte dadurch, daß ich die Sache vorzeitig verrate, ganz bewußt darauf, die Bedeutung des Zeichens zu erfahren.";30
"2659";730;"Es ist mir vollständig gleichgültig, und ich ermächtige den Herrn Untersuchungsrichter öffentlich, seine bezahlten Angestellten dort unten, statt mit geheimen Zeichen, laut mit Worten zu befehligen, indem er etwa einmal sagt: ›Jetzt zischt!‹";33
"2660";731;"und das nächste Mal: ›Jetzt klatscht!‹«";6
"2661";732;"In Verlegenheit oder Ungeduld rückte der Untersuchungsrichter auf seinem Sessel hin und her.";13
"2662";733;"Der Mann hinter ihm, mit dem er sich schon früher unterhalten hatte, beugte sich wieder zu ihm, sei es, um ihm im allgemeinen Mut zuzusprechen oder um ihm einen besonderen Rat zu geben.";33
"2663";734;"Unten unterhielten sich die Leute leise, aber lebhaft.";8
"2664";735;"Die zwei Parteien, die früher so entgegengesetzte Meinungen gehabt zu haben schienen, vermischten sich, einzelne Leute zeigten mit dem Finger auf K., andere auf den Untersuchungsrichter.";26
"2665";736;"Der neblige Dunst im Zimmer war äußerst lästig, er verhinderte sogar eine genauere Beobachtung der Fernerstehenden.";16
"2666";737;"Besonders für die Galeriebesucher mußte er störend sein, sie waren gezwungen, allerdings unter scheuen Seitenblicken nach dem Untersuchungsrichter, leise Fragen an die Versammlungsteilnehmer zu stellen, um sich näher zu unterrichten.";30
"2667";738;"Die Antworten wurden im Schutz der vorgehaltenen Hände ebenso leise gegeben.";11
"2668";739;"»Ich bin gleich zu Ende«, sagte K. und schlug, da keine Glocke vorhanden war mit der Faust auf den Tisch; im Schrecken darüber fuhren die Köpfe des Untersuchungsrichters und seines Ratgebers augenblicklich auseinander: »Mir steht die ganze Sache fern, ich beurteile sie daher ruhig, und Sie können, vorausgesetzt, daß Ihnen an diesem angeblichen Gericht etwas gelegen ist, großen Vorteil davon haben, wenn Sie mir zuhören.";65
"2669";740;"Ihre gegenseitigen Besprechungen dessen, was ich vorbringe, bitte ich Sie für späterhin zu verschieben, denn ich habe keine Zeit und werde bald weggehen.«";23
"2670";741;"Sofort war es still, so sehr beherrschte K. schon die Versammlung.";11
"2671";742;"Man schrie nicht mehr durcheinander wie am Anfang, man klatschte nicht einmal mehr Beifall, aber man schien schon überzeugt oder auf dem nächsten Wege dazu.";25
"2672";743;"»Es ist kein Zweifel«, sagte K. sehr leise, denn ihn freute das angespannte Aufhorchen der ganzen Versammlung, in dieser Stille entstand ein Sausen, das aufreizender war als der verzückteste Beifall, »es ist kein Zweifel, daß hinter allen Äußerungen dieses Gerichtes, in meinem Fall also hinter der Verhaftung und der heutigen Untersuchung, eine große Organisation sich befindet.";56
"2673";744;"Eine Organisation, die nicht nur bestechliche Wächter, läppische Aufseher und Untersuchungsrichter, die günstigsten Falles bescheiden sind, beschäftigt, sondern die weiterhin jedenfalls eine Richterschaft hohen und höchsten Grades unterhält, mit dem zahllosen, unumgänglichen Gefolge von Dienern, Schreibern, Gendarmen und andern Hilfskräften, vielleicht sogar Henkern, ich scheue vor dem Wort nicht zurück.";50
"2674";745;"Und der Sinn dieser großen Organisation, meine Herren?";8
"2675";746;"Er besteht darin, daß unschuldige Personen verhaftet werden und gegen sie ein sinnloses und meistens, wie in meinem Fall, ergebnisloses Verfahren eingeleitet wird.";23
"2676";747;"Wie ließe sich bei dieser Sinnlosigkeit des Ganzen die schlimmste Korruption der Beamtenschaft vermeiden?";14
"2677";748;"Das ist unmöglich, das brächte auch der höchste Richter nicht einmal für sich selbst zustande.";15
"2678";749;"Darum suchen die Wächter den Verhafteten die Kleider vom Leib zu stehlen, darum brechen Aufseher in fremde Wohnungen ein, darum sollen Unschuldige, statt verhört, lieber vor ganzen Versammlungen entwürdigt werden.";30
"2679";750;"Die Wächter haben nur von Depots erzählt, in die man das Eigentum der Verhafteten bringt, ich wollte einmal diese Depotplätze sehen, in denen das mühsam erarbeitete Vermögen der Verhafteten fault, soweit es nicht von diebischen Depotbeamten gestohlen ist.«";38
"2680";751;"K. wurde durch ein Kreischen vom Saalende unterbrochen, er beschattete die Augen, um hinsehen zu können, denn das trübe Tageslicht machte den Dunst weißlich und blendete.";26
"2681";752;"Es handelte sich um die Waschfrau, die K. gleich bei ihrem Eintritt als eine wesentliche Störung erkannt hatte.";18
"2682";753;"Ob sie jetzt schuldig war oder nicht, konnte man nicht erkennen.";11
"2683";754;"K. sah nur, daß ein Mann sie in einen Winkel bei der Tür gezogen hatte und dort an sich drückte.";20
"2684";755;"Aber nicht sie kreischte, sondern der Mann, er hatte den Mund breit gezogen und blickte zur Decke.";17
"2685";756;"Ein kleiner Kreis hatte sich um beide gebildet, die Galeriebesucher in der Nähe schienen darüber begeistert, daß der Ernst, den K. in die Versammlung eingeführt hatte, auf diese Weise unterbrochen wurde.";31
"2686";757;"K. wollte unter dem ersten Eindruck gleich hinlaufen, auch dachte er, allen würde daran gelegen sein, dort Ordnung zu schaffen und zumindest das Paar aus dem Saal zu weisen, aber die ersten Reihen vor ihm blieben ganz fest, keiner rührte sich, und keiner ließ K. durch.";46
"2687";758;"Im Gegenteil, man hinderte ihn, alte Männer hielten den Arm vor, und irgendeine Hand – er hatte nicht Zeit, sich umzudrehen – faßte ihn hinten am Kragen.";25
"2688";759;"K. dachte nicht eigentlich mehr an das Paar, ihm war, als werde seine Freiheit eingeschränkt, als mache man mit der Verhaftung ernst, und er sprang rücksichtslos vom Podium hinunter.";29
"2689";760;"Nun stand er Aug in Aug dem Gedränge gegenüber.";9
"2690";761;"Hatte er die Leute richtig beurteilt?";6
"2691";762;"Hatte er seiner Rede zuviel Wirkung zugetraut?";7
"2692";763;"Hatte man sich verstellt, solange er gesprochen hatte, und hatte man jetzt, da er zu den Schlußfolgerungen kam, die Verstellung satt?";21
